브랜드명,지점명,시도명,시군구명,주소
엔제리너스,광주동림DT점,광주광역시,광산구,광주광역시 광산구 하남대로
엔제리너스,남원도통,전라남도,남원시,전라남도 남원시 용성로 222
엔제리너스,선산휴게소 하점,경상북도,구미시,경상북도 구미시 옥성면 중부내륙고속도로 129
엔제리너스,광주운암DT점,광주광역시,북구,광주광역시 북구 북문대로187번길 2
엔제리너스,광주하남점,광주광역시,광산구,광주광역시 광산구 풍영철길로 15 콜럼버스월드
엔제리너스,광주오치점,광주광역시,북구,광주광역시 북구 용봉동 476-1
엔제리너스,호남대점,광주광역시,광산구,광주광역시 광산구 어등대로 416 1층
엔제리너스,광주용봉점,광주광역시,북구,광주광역시 북구 용봉택지로 80
엔제리너스,광주터미널점,광주광역시,서구,광주광역시 서구 무진대로 904 유스퀘어(광천터미널)
엔제리너스,광주광천DT점,광주광역시,서구,광주광역시 서구 무진대로 933
엔제리너스,곡성휴게소상점,전라남도,곡성군,전라남도 곡성군 겸면 가정리 347 50 곡성(상)휴게소
엔제리너스,상무DT점,광주광역시,서구,광주광역시 서구 상무대로 778
엔제리너스,광주농성DI점,광주광역시,서구,광주광역시 서구 화정동 178-48
엔제리너스,롯데시네광주점,광주광역시,동구,광주광역시 동구 독립로 268 롯데백화점
엔제리너스,광주금호점,광주광역시,서구,광주광역시 서구 풍금로 157
엔제리너스,하나은행전일빌딩점,광주광역시,동구,광주광역시 동구 금남로 245
엔제리너스,롯데아울렛광주월드컵점,광주광역시,서구,광주광역시 서구 금화로 240 월드컵경기장
엔제리너스,조선대국제관점,광주광역시,동구,광주광역시 동구 서석동 359-1 1층
엔제리너스,조선대입석홀점,광주광역시,동구,광주광역시 동구 필문대로 309 조선대학교
엔제리너스,조선대병원점,광주광역시,동구,광주광역시 동구 필문대로 365 조선대학교병원
엔제리너스,광주봉선중앙점,광주광역시,남구,광주광역시 남구 봉선로 152
엔제리너스,광주무등산점,광주광역시,동구,광주광역시 동구 증심사길 25
엔제리너스,광주빛고을점,광주광역시,남구,광주광역시 남구 효우로 170-1 엔젤빌딩
엔제리너스,내린천휴게소점,강원도,인제군,강원도 인제군 상남면 하남리 371
엔제리너스,의성휴게소(상)점,경상북도,의성군,경상북도 의성군 새못안길 45-49
엔제리너스,의성휴게소(하)점,경상북도,의성군,경상북도 의성군 안계면 양곡리 산103-4
엔제리너스,구미오태점,경상북도,칠곡군,경상북도 칠곡군 북삼읍 금오대로 225 1층
엔제리너스,구미진평점,경상북도,구미시,"경상북도 구미시 연동 32길 21 1,2층"
엔제리너스,안동옥동점,경상북도,안동시,경상북도 안동시 광명로 175
엔제리너스,목포법원프라자점,전라남도,목포시,전라남도 목포시 후광대로 110
엔제리너스,목포옥암점,전라남도,목포시,전라남도 목포시 옥암로 82
엔제리너스,롯데아울렛남악점,전라남도,무안군,전라남도 무안군 남악로162번길 80
엔제리너스,목포평화광장점,전라남도,목포시,전라남도 목포시 평화로 86
엔제리너스,경북의성점,경상북도,의성군,경상북도 의성군 의성읍 군청길 9 102호
엔제리너스,동명휴게소(하,경상북도,칠곡군,경상북도 칠곡군 동명면 중앙고속도로 123 동명휴게소 부산방향
엔제리너스,동명휴게소(상,경상북도,칠곡군,경상북도 칠곡군 동명면 중앙고속도로 122 동명휴게소
엔제리너스,논공휴게소상,대구광역시,달성군,대구광역시 달성군 광주대구고속도로 170
엔제리너스,논공휴게소하,대구광역시,달성군,대구광역시 달성군 논공읍 광주대고고속도로 169
엔제리너스,대구계명대점,대구광역시,달서구,대구광역시 달서구 계대동문로 2
엔제리너스,대구광장점,대구광역시,달서구,대구광역시 달서구 달구벌대로 1706
엔제리너스,대구북비산네거리점,대구광역시,서구,대구광역시 서구 북비산로 36
엔제리너스,대구내당점,대구광역시,서구,대구광역시 서구 달구벌대로 1813
엔제리너스,대구침산점,대구광역시,북구,대구광역시 북구 옥산로17길 14 칠성동 리치프라자 112호
엔제리너스,대구침산로점,대구광역시,북구,대구광역시 북구 침산로 162
엔제리너스,대구인터불고엑스코점,대구광역시,북구,대구광역시 북구 유통단지로 80
엔제리너스,롯데백대구점,대구광역시,북구,대구광역시 북구 태평로 161 롯데백화점 대구역
엔제리너스,대구동성로점,대구광역시,중구,대구광역시 중구 동성로6길 31
엔제리너스,대구수변공원점,대구광역시,달서구,대구광역시 달서구 월곡로 8
엔제리너스,속초터미널TO점,강원도,속초시,강원도 속초시 동해대로 3988 속초고속버스터미널
엔제리너스,부천역점,대구광역시,동구,대구광역시 동구 팔공로49길 16
엔제리너스,순천연향점,전라남도,순천시,전라남도 순천시 연향번영길 143 엔제리너스 커피 순천 연향점
엔제리너스,대구공항국제선점,대구광역시,동구,대구광역시 동구 공항로 221 공항內 국제선
엔제리너스,대구공항동편점,대구광역시,동구,대구광역시 동구 공항로 221 대구국제공항
엔제리너스,빌라드샬롯카페(대구공항점,대구광역시,동구,대구광역시 동구 공항로 221 빌라드샬롯카페(대구공항점)
엔제리너스,대구공항서편점,대구광역시,동구,대구광역시 동구 공항로 221 공항內 서편
엔제리너스,메가박스순천점,전라남도,순천시,전라남도 순천시 충효로 15 메가박스
엔제리너스,동대구터미널점,대구광역시,동구,대구광역시 동구 동부로30길 1
엔제리너스,대구중동점,대구광역시,수성구,대구광역시 수성구 수성로 233
엔제리너스,정화팔레스DI점,대구광역시,수성구,대구광역시 수성구 수성로 140-1
엔제리너스,대구동촌유원지점,대구광역시,동구,대구광역시 동구 효동로6길 30
엔제리너스,진주예술회관점,경상남도,진주시,경상남도 진주시 강남로201번길 1
엔제리너스,경남의령점,경상남도,의령군,경상남도 의령군 의병로16길 24-1
엔제리너스,광양중동점,전라남도,광양시,전라남도 광양시 중마중앙로 11
엔제리너스,진주금호못점,경상남도,진주시,경상남도 진주시 금산순환로587번길 117
엔제리너스,롯데아울렛진주점,경상남도,진주시,경상남도 진주시 동진로 440  롯데아울렛진주점 1층 (충무공동 35)
엔제리너스,진주혁신도시점,경상남도,진주시,경상남도 진주시 영천강로 167
엔제리너스,평사휴게소점,경상북도,경산시,경상북도 경산시 평사1길 77-60
엔제리너스,경남함안,경상남도,함안군,경상남도 함안군 함마대로 1494
엔제리너스,여수학동점,전라남도,여수시,전라남도 여수시 선소로 17
엔제리너스,삼천포벌리점,경상남도,사천시,경상남도 사천시 주공로 30
엔제리너스,울진DI점,경상북도,울진군,경상북도 울진군 울진읍 현내항길 7
엔제리너스,건천휴게소(하)점,경상북도,경주시,경상북도 경주시 건천읍 경부고속도로 77
엔제리너스,마산현동점,경상남도,창원시,경상남도 창원시 마산합포구 현동7길 28
엔제리너스,울진후포점,경상북도,울진군,경상북도 울진군후포면 울진대게로 34-4
엔제리너스,창원중앙오거리점,경상남도,창원시,경상남도 창원시 성산구 용지로113번길 23
엔제리너스,롯데시네창원점,경상남도,창원시,경상남도 창원시 성산구 중앙대로 124 롯데백화점
엔제리너스,경주D/T점,경상북도,경주시,경상북도 경주시 산업로 4506
엔제리너스,창원성주점,경상남도,창원시,경상남도 창원시 성산구 삼정자로72번길  33
엔제리너스,포항이동점,경상북도,포항시,경상북도 포항시 남구 포스코대로 123
엔제리너스,포항효자강변점,경상북도,포항시,경상북도 포항시 남구 효자동 605-4
엔제리너스,포항북부점,경상북도,포항시,경상북도 포항시 북구 두호동 722
엔제리너스,김해대청계곡점,경상남도,김해시,경상남도 김해시 대청계곡길 195-101
엔제리너스,김해장유코아점,경상남도,김해시,경상남도 김해시 능동로149번길 9
엔제리너스,언양휴게소점,울산광역시,울주군,울산광역시 울주군 언양읍 반곡리 966-15 (언동3길 20-48 엔제리너스)
