브랜드명,지점명,시도명,시군구명,주소
파스쿠찌,함안휴게소(순천),경상남도,함안군,경남 함안군 군북면 현포로 205-1
파스쿠찌,부산사직,부산광역시,동래구,"부산광역시 동래구 아시아드대로 141, 1층"
파스쿠찌,의왕역,경기도,의왕시,경기도 의왕시 삼동 208-12
파스쿠찌,대구법원,대구광역시,수성구,"대구시 수성구 동대구로 371-1, 1층"
파스쿠찌,남양주알프하임,경기도,남양주시,"경기도 남양주시 백봉로 32, B-2동 지1층 101~105호(호평동 두산 알프하임 상가동)"
파스쿠찌,파주문산DI,경기도,파주시,"경기도 파주시 문산읍 우계로 424, 101호"
파스쿠찌,세종베스트웨스턴호텔,세종특별자치시,세종특별자치시,"세종특별자치시 도움1로 7, 1층 111~116호(어진동540)"
파스쿠찌,천호로데오,서울특별시,강동구,"서울시 강동구 구천면로 212, 1층"
파스쿠찌,유명산DI,경기도,가평군,경기도 가평군 어비산길 16
파스쿠찌,창녕점,경상남도,창녕군,경남 창녕군 창녕읍 화왕산로 134
파스쿠찌,제주한라대,제주특별자치도,제주시,"제주특별자치도 제주시 고사마루길 2, 1층"
파스쿠찌,용산삼각지,서울특별시,용산구,"서울 용산구 한강로2가 426 용산트리스퀘어 101동 104호, 105호(용산구 백범로 99길 40)"
파스쿠찌,대구가톨릭대로 DI,대구광역시,남구,대구 남구 두류공원로 64
파스쿠찌,광주쌍촌,광주광역시,서구,"광주광역시 서구 상일로 58 1층,2층"
파스쿠찌,대전원내,대전광역시,유성구,대전 유성구 진잠로92번길 85
파스쿠찌,울산남구무궁화점,울산광역시,남구,울산광역시 남구 왕생로 146(달동)
파스쿠찌,한마음국제의료원점,경상남도,창원시,"경상남도 창원시 의창구 용동로 57번길 8, 1층"
파스쿠찌,원주터미널점,강원도,원주시,"강원도 원주시 서원대로 165-1, 1층(단계동)"
파스쿠찌,용인(인천)휴게소 상행점,경기도,용인시,경기도 용인시 처인구 고림동 81-2(주북로 94번길 66-14)
파스쿠찌,용인(강릉)휴게소 하행점,경기도,용인시,경기도 용인시 처인구 고림동 12-6(주북로 94번길 30-1)
파스쿠찌,북대전점,대전광역시,유성구,"대전 유성구 대덕대로 1097 (송강동 141-2, 1,2층)"
파스쿠찌,목포 옥암법원점,전라남도,목포시,전라남도 목포시 정의로 10
파스쿠찌,광주매곡점,광주광역시,북구,광주광역시 북구 서하로 79
파스쿠찌,부산당감점,부산광역시,부산진구,"부산 부산진구 동평로 83, 1층"
파스쿠찌,진영(부산) 휴게소점,경상남도,김해시,경남 김해시 진영읍 하계로 96번길 94-4 진영(부산)휴게소
파스쿠찌,성산포수협,제주특별자치도,서귀포시,제주 서귀포시 성산읍 성산등용로 91
파스쿠찌,제주한림점,제주특별자치도,제주시,제주도 제주시 한림읍 한림남1길 3
파스쿠찌,울산무궁화점,울산광역시,남구,울산광역시 남구 돋질로 359
파스쿠찌,김천교동 D/T,경상북도,김천시,"경상북도 김천시 대학로 75, 나동 1-2층(교동)"
파스쿠찌,인천D/T,인천광역시,연수구,"인천 연수구 비류대로 11, 2동"
파스쿠찌,대전송촌점,대전광역시,대덕구,"대전시 대덕구 계족산로 81번길 101, 1층(송촌동)"
파스쿠찌,청주죽림 D/I,충청북도,청주시,충청북도 청주시 서원구 대림로 427 1층
파스쿠찌,대전카이스트점,대전광역시,유성구,대전 유성구 대학로 291
파스쿠찌,마산역 D/I,경상남도,창원시,"경남 창원시 마산회원구 3.15대로 703, 1층(석전동)"
파스쿠찌,광주문흥점,광주광역시,북구,광주시 북구 서하로 353-1
파스쿠찌,신사역점,서울특별시,서초구,"서울시 서초구 강남대로 101길 7, 지하1층, 지상1층(잠원동, 루미에르신사)"
파스쿠찌,계양구청점,인천광역시,계양구,인천 계양구 오조산로57번길 11
파스쿠찌,평택 힐스테이트점,경기도,평택시,경기 평택시 세교동 10-1 디오네프라자 1층
파스쿠찌,전주 김제 모다아울렛점,전라북도,김제시,전라북도 김제시 용지면 부교리 44-1번지
파스쿠찌,안산성포점,경기도,안산시,경기도 안산시 상록구 성포동 587-1 드림빌딩 2층
파스쿠찌,대구 남산역점,대구광역시,남구,대구시 남구 명덕로 116 1층
파스쿠찌,부산 가덕도점,부산광역시,강서구,부산시 강서구 가덕해안로 612
파스쿠찌,유성온천역점,대전광역시,유성구,대전광역시 유성구 계룡로 92
파스쿠찌,안산중앙점,경기도,안산시,"경기도 안산시 단원구 고잔로 88 , 지스타 105,106호"
파스쿠찌,경인교대역점,인천광역시,계양구,인천 계양구 계산천동로1
파스쿠찌,해남군청점,전라남도,해남군,"전란남도 해남군 해남읍 북부순환로 112, 동우빌딩 1,2층"
파스쿠찌,기쁨병원점,서울특별시,서초구,"서울시 서초구 서초중앙로 4 ,1층"
파스쿠찌,서귀포일호광장점,제주특별자치도,서귀포시,제주 서귀포시 서문로 1(서귀동)
파스쿠찌,인천운서점,인천광역시,중구,인천 중구 백년로 128번길 21 스카이프라자 1층
파스쿠찌,광안비치점,부산광역시,수영구,"부산 수영구 광안해변로 165 광안지웰에스테이트 1,2F"
파스쿠찌,대구라온제나점,대구광역시,수성구,"대구광역시 수성구 범어천로 13 1층 102,103호"
파스쿠찌,행담도휴게소,충청남도,당진시,충남 당진시 신평면 서해안고속도로 275
파스쿠찌,청주테크노폴리스,충청북도,청주시,"충북 청주시 흥덕구 송화로 166번길 20, 1층"
파스쿠찌,트윈시티 남산,서울특별시,용산구,서울시 용산구 한강대로 366 1층
파스쿠찌,일산 D/I,경기도,고양시,경기도 고양시 일산서구 일산로 646
파스쿠찌,부산화명,부산광역시,북구,부산시 북구 금곡대로 303번길 36
파스쿠찌,제주봉개 D/I,제주특별자치도,제주시,"제주 제주시 번영로 430, 1층"
파스쿠찌,대구 반월당제네스점,대구광역시,중구,"대구광역시 중구 중앙대로 312 반월당아너스제네스타워109호,207호,208호"
파스쿠찌,김천휴게소(하),경상북도,김천시,경북 김천시 농소면 경부고속도로 김천(부산)휴게소
파스쿠찌,김천휴게소(상),경상북도,김천시,경북 김천시 농소면 경부고속도로 김천(서울)휴게소
파스쿠찌,충남태안점,충청남도,태안군,"충남 태안군 태안읍 중앙로 152, 1층 파스쿠찌 (동문리 259-2)"
파스쿠찌,동해해안도로 D/I,강원도,동해시,"강원도 동해시 해안로 374,1층"
파스쿠찌,김해진영점,경상남도,김해시,경남 김해시 진영읍 김해대로 361번길 9
파스쿠찌,대구용산점,대구광역시,달서구,"대구시 달서구 용산로 231 1,2층"
파스쿠찌,수성구청역,대구광역시,수성구,"대구시 수성구 달구벌대로 2485, 1층"
