date,team,1,2,3,4,5,6,7,8,9,선발투수
2022-04-10,한화,정은원,최재훈,터크먼,노시환,이성곤,김태연,하주석,노수광,임종찬,한승주
2022-04-12,SSG,추신수,최지훈,최정,한유섬,최주환,크론,박성한,이재원,오태곤,노바
2022-04-12,LG,홍창기,박해민,김현수,문보경,유강남,오지환,루이즈,문성주,서건창,임찬규
2022-04-12,한화,정은원,최재훈,터크먼,노시환,이성곤,김태연,하주석,노수광,임종찬,카펜터
2022-04-12,삼성,김상수,구자욱,피렐라,강민호,오재일,최영진,오선진,김헌곤,강한울,원태인
2022-04-12,두산,김인태,안재석,페르난데스,김재환,허경민,오재원,강진성,박세혁,정수빈,곽빈
2022-04-12,KT,김민혁,황재균,라모스,박병호,김병희,장성우,오윤석,배정대,심우준,고영표
2022-04-12,롯데,정훈,조세진,안치홍,전준우,한동희,이대호,피터스,정보근,이학주,반즈
2022-04-12,KIA,김도영,김선빈,나성범,황대인,소크라테스,이우성,김호령,한승택,박찬호,이의리
2022-04-12,NC,손아섭,박준영,박건우,양의지,마티니,노진혁,오영수,박대온,서호철,송명기
2022-04-12,키움,이용규,김혜성,이정후,푸이그,송성문,박동원,이지영,김주형,박찬혁,최원태
2022-04-13,SSG,추신수,김강민,최주환,한유섬,크론,김성현,박성한,이재원,최지훈,오원석
2022-04-13,LG,홍창기,이상호,김현수,문보경,유강남,오지환,루이즈,문성주,박해민,손주영
2022-04-13,한화,정은원,최재훈,터크먼,노시환,김태연,하주석,장운호,이해창,임종찬,김민우
2022-04-13,삼성,김상수,구자욱,피렐라,강민호,오재일,오선진,김헌곤,김재혁,강한울,양창섭
2022-04-13,NC,손아섭,마티니,박건우,양의지,노진혁,오영수,도태훈,박대온,서호철,이재학
2022-04-13,키움,이용규,김혜성,이정후,푸이그,송성문,박동원,김재현,김주형,박찬혁,정찬헌
2022-04-14,SSG,추신수,최지훈,최정,한유섬,최주환,크론,박성한,이재원,오태곤,폰트
2022-04-14,LG,홍창기,박해민,김현수,유강남,문보경,루이즈,오지환,문성주,서건창,플럿코
2022-04-14,한화,노수광,김태연,터크먼,노시환,하주석,이성곤,이해창,임종찬,이원석,박윤철
2022-04-14,삼성,김상수,강한울,피렐라,강민호,오재일,오선진,김헌곤,박승규,김재혁,뷰캐넌
2022-04-14,두산,김인태,안재석,페르난데스,김재환,허경민,강진성,강승호,박세혁,정수빈,스탁
2022-04-14,KT,김민혁,황재균,라모스,박병호,조용호,장성우,오윤석,배정대,심우준,소형준
2022-04-14,롯데,정훈,조세진,안치홍,전준우,한동희,이대호,피터스,이학주,정보근,박세웅
2022-04-14,KIA,고종욱,김선빈,나성범,황대인,최형우,소크라테스,김민식,류지혁,박찬호,양현종
2022-04-14,NC,손아섭,전민수,박건우,양의지,마티니,노진혁,도태훈,오영수,서호철,루친스키
2022-04-14,키움,이용규,김혜성,이정후,푸이그,송성문,이지영,전병우,김주형,박찬혁,안우진
2022-04-15,키움,이용규,김혜성,이정후,푸이그,송성문,박동원,전병우,김주형,박찬혁,애플러
2022-04-15,두산,김인태,안재석,페르난데스,김재환,허경민,강진성,오재원,박세혁,정수빈,최원준
2022-04-15,삼성,김상수,강한울,피렐라,오재일,오선진,최영진,김헌곤,김태군,김재혁,수아레즈
2022-04-15,SSG,추신수,최지훈,최정,한유섬,최주환,크론,박성한,이재원,김강민,김광현
2022-04-15,KT,김민혁,황재균,조용호,라모스,박병호,장성우,오윤석,송민섭,심우준,배제성
2022-04-15,롯데,정훈,이학주,안치홍,전준우,한동희,김민수,피터스,고승민,정보근,김진욱
2022-04-15,KIA,김도영,소크라테스,김선빈,나성범,최형우,황대인,김석환,김민식,박찬호,놀린
2022-04-15,NC,손아섭,박준영,박건우,양의지,마티니,노진혁,윤형준,박대온,서호철,파슨스
2022-04-15,LG,홍창기,박해민,김현수,문보경,오지환,문성주,루이즈,서건창,허도환,이민호
2022-04-15,한화,정은원,최재훈,터크먼,김태연,이성곤,하주석,노수광,장운호,이도윤,윤대경
2022-04-16,삼성,김상수,구자욱,피렐라,오재일,강민호,오선진,김태군,박승규,김지찬,백정현
2022-04-16,SSG,추신수,최지훈,최정,한유섬,최주환,크론,박성한,이흥련,김강민,노경은
2022-04-16,키움,이용규,김혜성,이정후,푸이그,송성문,박동원,전병우,강민국,박찬혁,요키시
2022-04-16,두산,허경민,김인태,강진성,김재환,페르난데스,김재호,박계범,박세혁,정수빈,이영하
2022-04-16,KT,김민혁,황재균,조용호,라모스,김병희,김준태,오윤석,홍현빈,심우준,데스파이네
2022-04-16,롯데,정훈,고승민,한동희,전준우,안치홍,이대호,피터스,박승욱,지시완,스파크맨
2022-04-16,KIA,박찬호,김선빈,나성범,최형우,황대인,소크라테스,김석환,김민식,김도영,로니
2022-04-16,NC,손아섭,박준영,박건우,양의지,마티니,노진혁,오영수,도태훈,김기환,신민혁
2022-04-16,LG,홍창기,박해민,김현수,유강남,문보경,문성주,루이즈,오지환,서건창,켈리
2022-04-16,한화,정은원,최재훈,터크먼,노시환,하주석,김태연,이성곤,노수광,임종찬,킹엄
2022-04-17,키움,이용규,김혜성,이정후,푸이그,송성문,이지영,전병우,김주형,박찬혁,최원태
2022-04-17,두산,허경민,김인태,페르난데스,김재환,강진성,안재석,오재원,박세혁,정수빈,미란다
2022-04-17,삼성,김상수,구자욱,피렐라,오재일,강민호,오선진,김헌곤,김재혁,김지찬,원태인
2022-04-17,SSG,최지훈,오준혁,최주환,한유섬,크론,박성한,김성현,이재원,오태곤,노바
2022-04-17,KT,조용호,황재균,김병희,박병호,라모스,장성우,오윤석,배정대,심우준,엄상백
2022-04-17,롯데,정훈,고승민,한동희,전준우,안치홍,이대호,피터스,이학주,지시완,반즈
2022-04-17,KIA,박찬호,김선빈,나성범,최형우,황대인,소크라테스,김석환,김민식,김도영,이의리
2022-04-17,NC,손아섭,박준영,박건우,양의지,마티니,노진혁,오영수,서호철,김기환,송명기
2022-04-17,LG,홍창기,박해민,김현수,채은성,문보경,유강남,문성주,오지환,서건창,임찬규
2022-04-17,한화,노수광,최재훈,터크먼,노시환,하주석,김태연,이성곤,이도윤,임종찬,카펜터
2022-04-19,KT,김민혁,황재균,조용호,박병호,라모스,장성우,배정대,박경수,심우준,고영표
2022-04-19,LG,홍창기,박해민,김현수,채은성,문보경,오지환,문성주,유강남,루이즈,김윤식
2022-04-19,키움,이용규,김혜성,이정후,푸이그,송성문,박동원,전병우,김주형,박찬혁,정찬헌
2022-04-19,SSG,추신수,최지훈,최정,한유섬,최주환,크론,박성한,오준혁,이재원,오원석
2022-04-19,한화,정은원,최재훈,터크먼,노시환,하주석,김태연,이성곤,노수광,이원석,김민우
2022-04-19,롯데,정훈,이학주,한동희,전준우,안치홍,이대호,피터스,고승민,지시완,이인복
2022-04-19,삼성,김상수,구자욱,피렐라,오재일,강민호,김재혁,김헌곤,이재현,김지찬,양창섭
2022-04-19,NC,김기환,손아섭,박건우,양의지,마티니,노진혁,박준영,박대온,서호철,이재학
2022-04-19,두산,김인태,안재석,페르난데스,김재환,허경민,강진성,박세혁,박계범,정수빈,곽빈
