date,team,1,2,3,4,5,6,7,8,9,선발투수
2023-04-18,삼성,구자욱,김지찬,피렐라,강민호,오재일,이재현,이성규,송준석,김호재,백정현
2023-04-18,키움,김혜성,김휘집,이정후,이형종,러셀,박주홍,김동헌,임병욱,송재선,장재영
2023-04-18,SSG,추신수,최지훈,최정,최주환,에레디아,한유섬,박성한,전의산,이재원,문승원
2023-04-18,KT,김민혁,강백호,알포드,박병호,장성우,김준태,박경수,신본기,김상수,고영표
2023-04-18,두산,정수빈,조수행,양석환,양의지,송승환,강승호,로하스,안재석,이유찬,최원준
2023-04-18,한화,노수광,정은원,노시환,채은성,오그레디,최재훈,김인환,박정현,문현빈,문동주
2023-04-18,KIA,류지혁,이창진,소크라테스,황대인,최형우,김선빈,이우성,한승택,박찬호,앤더슨
2023-04-18,롯데,안권수,고승민,렉스,전준우,안치홍,노진혁,한동희,유강남,김민석,박세웅
2023-04-19,NC,박민우,손아섭,박건우,박석민,오영수,천재환,김주원,안중열,한석현,페디
2023-04-19,LG,홍창기,문성주,김현수,오스틴,문보경,김민성,박동원,서건창,박해민,켈리
2023-04-19,삼성,구자욱,김지찬,피렐라,이원석,오재일,이재현,이성규,이병헌,김호재,이재희
2023-04-19,키움,김혜성,김동헌,이정후,이형종,러셀,김휘집,이용규,이지영,전병우,안우진
2023-04-19,SSG,최지훈,에레디아,추신수,최정,최주환,박성한,한유섬,전의산,김민식,박종훈
2023-04-19,KT,김민혁,김상수,강백호,박병호,장성우,김준태,박경수,신본기,홍현빈,엄상백
2023-04-19,두산,정수빈,조수행,양석환,양의지,송승환,강승호,로하스,허경민,이유찬,김동주
2023-04-19,한화,이원석,정은원,노시환,채은성,김태연,오그레디,최재훈,유상빈,박정현,장민재
2023-04-19,KIA,류지혁,이창진,소크라테스,황대인,최형우,김선빈,고종욱,주효상,박찬호,이의리
2023-04-19,롯데,안권수,고승민,렉스,전준우,안치홍,노진혁,한동희,유강남,김민석,한현희
2023-04-20,NC,손아섭,천재환,박건우,윤형준,김성욱,김주원,안중열,도태훈,김수윤,송명기
2023-04-20,LG,홍창기,문성주,김민성,오스틴,문보경,박동원,김기연,서건창,박해민,김윤식
2023-04-20,삼성,구자욱,피렐라,이원석,강민호,오재일,이재현,이성규,김지찬,이해승,뷰캐넌
2023-04-20,키움,김혜성,이용규,이정후,이형종,러셀,김휘집,박주홍,김동헌,임병욱,요키시
2023-04-20,SSG,추신수,최지훈,최정,에레디아,김강민,오태곤,박성한,김성현,김민식,송영진
2023-04-20,KT,김민혁,강백호,알포드,박병호,장성우,박경수,신본기,홍현빈,김상수,벤자민
2023-04-20,두산,조수행,양찬열,양석환,양의지,허경민,로하스,강승호,장승현,이유찬,알칸타라
2023-04-20,한화,노수광,정은원,노시환,채은성,오그레디,김태연,김인환,박상언,오선진,김민우
2023-04-20,KIA,류지혁,이창진,소크라테스,황대인,최형우,김선빈,고종욱,주효상,박찬호,메디나
2023-04-20,롯데,안권수,김민석,고승민,렉스,전준우,노진혁,박승욱,한동희,정보근,스트레일리
2023-04-21,KT,김민혁,강백호,알포드,박병호,강현우,김상수,정준영,신본기,류현인,배제성
2023-04-21,두산,조수행,허경민,양석환,김재환,양의지,로하스,강승호,양찬열,이유찬,곽빈
2023-04-21,키움,김혜성,이용규,이정후,이형종,러셀,김휘집,전병우,김동헌,김수환,후라도
2023-04-21,SSG,추신수,최지훈,최정,에레디아,한유섬,박성한,최주환,전의산,김민식,김광현
2023-04-21,LG,홍창기,문성주,김현수,오스틴,문보경,김민성,박동원,서건창,박해민,플럿코
2023-04-21,한화,노수광,정은원,노시환,채은성,김태연,유상빈,최재훈,문현빈,박정현,페냐
2023-04-21,삼성,구자욱,김지찬,피렐라,강민호,이원석,오재일,이재현,송준석,김성윤,장필준
2023-04-21,KIA,류지혁,고종욱,소크라테스,최형우,변우혁,김호령,김규성,한승택,박찬호,윤영철
2023-04-21,롯데,안권수,고승민,전준우,렉스,안치홍,노진혁,한동희,유강남,김민석,나균안
2023-04-21,NC,박민우,천재환,박건우,손아섭,김성욱,오영수,도태훈,안중열,김주원,구창모
2023-04-22,KT,김민혁,강백호,알포드,장성우,문상철,강현우,김상수,신본기,이상호,슐서
2023-04-22,두산,양찬열,허경민,양석환,김재환,양의지,로하스,강승호,안재석,정수빈,최승용
2023-04-22,키움,김혜성,이형종,이정후,러셀,김휘집,김태진,전병우,이용규,이지영,최원태
2023-04-22,SSG,추신수,최지훈,최정,에레디아,한유섬,최주환,김성현,전의산,김민식,맥카티
2023-04-22,LG,홍창기,문성주,김현수,오스틴,문보경,정주현,박동원,서건창,박해민,임찬규
2023-04-22,한화,이원석,노수광,노시환,채은성,김인환,최재훈,오그레디,문현빈,박정현,남지민
2023-04-22,삼성,구자욱,김지찬,피렐라,이원석,강민호,오재일,이재현,공민규,이성규,원태인
2023-04-22,KIA,류지혁,고종욱,소크라테스,최형우,김선빈,이창진,변우혁,한승택,박찬호,양현종
2023-04-22,롯데,안권수,황성빈,고승민,전준우,한동희,노진혁,유강남,박승욱,김민석,반즈
2023-04-22,NC,박민우,천재환,박건우,손아섭,김성욱,오영수,김주원,안중열,도태훈,신민혁
2023-04-23,KT,조용호,김민혁,알포드,박병호,장성우,강백호,박경수,이상호,김상수,고영표
2023-04-23,두산,양찬열,안재석,양석환,김재환,양의지,로하스,강승호,허경민,정수빈,최원준
2023-04-23,키움,김혜성,이형종,이정후,러셀,김태진,김휘집,박주홍,이지영,김준완,이승호
2023-04-23,SSG,김강민,최지훈,최정,에레디아,오태곤,김성현,박성한,최경모,조형우,오원석
2023-04-23,LG,홍창기,문성주,김현수,오스틴,문보경,정주현,박동원,서건창,박해민,강효종
2023-04-23,한화,이원석,노수광,노시환,채은성,이성곤,유로결,정은원,박상언,오선진,이태양
2023-04-23,삼성,구자욱,김지찬,피렐라,이원석,강민호,송준석,이재현,이성규,김호재,백정현
2023-04-23,KIA,류지혁,이창진,소크라테스,최형우,김선빈,변우혁,김호령,한승택,박찬호,앤더슨
2023-04-23,롯데,안권수,황성빈,안치홍,렉스,노진혁,유강남,한동희,박승욱,김민석,박세웅
