순위,이름,팀,WAAwithADJ,출장,선발,이닝,기회,자살,보살,실책,수비율,RF9,RNG,ARM,CS,BLK,E+,RAA,/133,POSADJ,RAAwithADJ,WAAw/oADJ
340,나균안,22롯P, -0.017 , 39 ,13.0,117.2, 23 , 8 ,13.0,2.0, .913 , 1.61 ,-0.11,0.0, 0.00 , 0.06 ,-0.11,-0.16, -1.67 , 0.00 ,-0.16,-0.017
341,윤산흠,22한P, -0.018 , 37 ,0.0,33.2, 7 , 1 ,5.0,1.0, .857 , 1.60 ,0.2,0.0, 0.00 , -0.25 ,-0.12,-0.17, -6.03 , 0.00 ,-0.17,-0.018
342,공민규,22삼1B, -0.018 , 11 ,4.0,45.0, 38 , 31 ,5.0,2.0, .947 , 7.20 ,0.32,0.0, 0.00 , 0.00 ,-0.29,0.02, 0.62 , -0.19 ,-0.17,0.002
343,뷰캐넌,22삼P, -0.018 , 26 ,26.0,160.0, 42 , 21 ,20.0,1.0, .976 , 2.31 ,-0.45,0.0, 0.00 , 0.08 ,0.2,-0.18, -1.31 , 0.00 ,-0.18,-0.018
344,전사민,22NP, -0.018 , 7 ,0.0,8.1, 1 , 0 ,0.0,1.0, .000 , 0.00 ,-0.0,0.0, 0.00 , 0.00 ,-0.18,-0.18, -25.25 , 0.00 ,-0.18,-0.018
345,이재익,22삼P, -0.018 , 42 ,0.0,33.1, 9 , 4 ,5.0,0.0, 1.000 , 2.43 ,-0.28,0.0, 0.00 , 0.02 ,0.08,-0.18, -6.33 , 0.00 ,-0.18,-0.018
346,최동환,22LP, -0.020 , 47 ,0.0,50.0, 5 , 1 ,3.0,1.0, .800 , 0.72 ,-0.14,0.0, 0.00 , 0.02 ,-0.08,-0.19, -4.57 , 0.00 ,-0.19,-0.02
347,이정용,22LP, -0.020 , 65 ,0.0,59.1, 9 , 1 ,7.0,1.0, .889 , 1.21 ,-0.04,0.0, 0.00 , -0.10 ,-0.05,-0.2, -3.97 , 0.00 ,-0.2,-0.02
348,브랜든,22두P, -0.021 , 11 ,11.0,65.0, 12 , 4 ,8.0,0.0, 1.000 , 1.66 ,-0.4,0.0, 0.00 , 0.03 ,0.16,-0.2, -3.74 , 0.00 ,-0.2,-0.021
349,한승주,22한P, -0.021 , 7 ,2.0,15.2, 2 , 1 ,1.0,0.0, 1.000 , 1.15 ,-0.25,0.0, 0.00 , 0.01 ,0.04,-0.21, -15.86 , 0.00 ,-0.21,-0.021
350,윤대경,22한P, -0.022 , 25 ,14.0,75.1, 19 , 4 ,14.0,1.0, .947 , 2.15 ,-0.24,0.0, 0.00 , 0.04 ,-0.01,-0.21, -3.34 , 0.00 ,-0.21,-0.022
351,배성근,22롯2B, -0.023 , 21 ,8.0,98.1, 50 , 17 ,32.0,1.0, .980 , 4.49 ,-0.5,0.0, 0.00 , 0.00 ,0.08,-0.42, -5.13 , 0.21 ,-0.22,-0.044
352,최건,22롯P, -0.024 , 5 ,0.0,2.1, 0 , 0 ,0.0,0.0,  , 0.00 ,-0.0,0.0, -0.24 , 0.00 ,0.01,-0.23, -119.45 , 0.00 ,-0.23,-0.024
353,김민수,22롯RF, -0.024 , 3 ,2.0,16.0, 2 , 2 ,0.0,0.0, 1.000 , 1.13 ,-0.16,-0.0, 0.00 , 0.00 ,0.01,-0.15, -11.44 , -0.08 ,-0.23,-0.016
354,양찬열,22두RF, -0.025 , 36 ,23.0,195.0, 47 , 45 ,1.0,1.0, .979 , 2.12 ,1.27,-0.49, 0.00 , 0.00 ,-0.05,0.73, 4.49 , -0.97 ,-0.24,0.076
355,김태훈,22키P, -0.025 , 43 ,0.0,43.0, 7 , 0 ,7.0,0.0, 1.000 , 1.47 ,-0.37,0.0, 0.00 , 0.02 ,0.11,-0.24, -6.75 , 0.00 ,-0.24,-0.025
356,이우찬,22LP, -0.026 , 36 ,0.0,44.2, 9 , 2 ,7.0,0.0, 1.000 , 1.81 ,-0.25,0.0, 0.00 , -0.11 ,0.11,-0.25, -6.65 , 0.00 ,-0.25,-0.026
357,김민우,22한P, -0.026 , 29 ,29.0,163.0, 26 , 9 ,16.0,1.0, .962 , 1.38 ,-0.54,0.0, 0.00 , 0.08 ,0.21,-0.25, -1.85 , 0.00 ,-0.25,-0.026
358,이병헌,22두P, -0.026 , 9 ,0.0,5.0, 0 , 0 ,0.0,0.0,  , 0.00 ,-0.0,0.0, 0.00 , -0.27 ,0.01,-0.25, -60.68 , 0.00 ,-0.25,-0.026
359,이강준,22롯P, -0.026 , 13 ,0.0,9.2, 3 , 3 ,0.0,0.0, 1.000 , 2.79 ,0.16,0.0, -0.24 , -0.20 ,0.02,-0.25, -31.52 , 0.00 ,-0.25,-0.026
360,강백호,22K1B, -0.027 , 16 ,13.0,111.0, 100 , 91 ,7.0,2.0, .980 , 7.95 ,0.85,0.0, 0.00 , 0.00 ,-0.19,0.66, 7.09 , -0.92 ,-0.26,0.068
