팀,이름,WAAwithADJ,출장,선발,이닝,기회,자살,보살,실책,수비율,RF9,RNG,E+,RAA,/133,POSADJ,RAAwithADJ,WAAw/oADJ
키움,김규민,-0.044,3,24,238.0,74,70,3,1,0.987,2.76,0.16,-0.06,0.84,4.24,-1.3,-0.46,0.081
키움,김동혁,0.087,40,8,82.0,17,1,14,2,0.882,1.65,1.09,-0.25,0.88,12.79,0.0,0.88,0.087
키움,김상수,-0.034,2,0,51.1,8,3,4,1,0.875,1.23,-0.17,-0.1,-0.36,-8.43,0.0,-0.36,-0.034
키움,김수환,-0.391,56,52,382.1,366,325,36,5,1.9569999999999999,15.370000000000001,-0.65,-0.23,-0.89,-5.73,-2.89,-3.77,-0.092
키움,김웅빈,-0.041000000000000016,68,97,855.5,597,469,117,11,2.937,20.38,2.93,-0.20999999999999996,2.72,21.79,-3.44,-0.7200000000000003,0.28400000000000003
키움,김재웅,0.042,117,7,174.5,27,5,19,3,2.6390000000000002,3.66,0.56,-0.22,0.42999999999999994,6.41,0.0,0.42999999999999994,0.042
키움,김재현,0.28500000000000003,95,43,356.1,273,242,26,5,1.967,13.46,0.88,-0.47,-0.19,-0.45999999999999996,2.98,2.79,-0.021
키움,김주형,-0.425,85,63,612.3,292,88,185,19,2.806,11.48,-5.34,-1.56,-6.89,-37.59,2.68,-4.22,-0.696
키움,김준완,-0.225,105,79,738.1,185,174,8,3,0.984,2.22,-2.81,-0.08,1.04,1.69,-3.19,-2.15,0.109
키움,김태진,-0.136,66,60,517.0,391,292,94,5,0.987,6.72,0.82,0.04,0.74,1.72,-2.09,-1.34,0.08
키움,김태훈,-0.009000000000000001,69,2,128.1,35,8,24,3,1.83,4.49,0.32999999999999996,-0.35000000000000003,-0.09,-1.6000000000000003,0.0,-0.09,-0.009000000000000001
키움,김하성,0.833,3,127,1104.1,504,135,349,20,0.96,3.94,4.87,-0.66,4.21,4.57,4.81,9.02,0.389
키움,김혜성,2.519,271,387,3386.5,1906,767,1084,55,2.917,14.76,16.78,-1.5599999999999998,17.29,19.0,8.120000000000001,25.4,1.716
키움,김휘집,-0.583,142,118,1024.0,494,158,314,22,1.8639999999999999,7.22,-9.639999999999999,-0.52,-10.16,-24.729999999999997,4.46,-5.69,-1.043
키움,러셀,0.007,1,56,494.1,297,106,179,12,0.96,5.19,-0.39,-1.12,-1.51,-3.66,1.58,0.07,-0.143
키움,모터,-0.188,1,10,82.0,27,11,14,2,0.926,2.74,-1.44,-0.19,-1.97,-28.79,0.03,-1.94,-0.191
키움,박동원,1.107,86,148,1201.2,961,868,82,11,1.9769999999999999,14.260000000000002,0.55,-0.45999999999999996,0.78,1.5999999999999999,10.71,11.489999999999998,0.076
키움,박병호,-0.96,100,181,1522.4,1606,1470,124,12,1.9849999999999999,18.84,3.3200000000000003,0.25,3.57,5.58,-13.52,-9.95,0.346
키움,박정음,-0.10600000000000001,45,8,253.2,74,74,0,0,2.0,5.6,0.96,0.13,-1.0299999999999998,10.740000000000002,-0.22999999999999998,-1.25,-0.08300000000000002
키움,박주홍,0.0010000000000000009,24,15,137.0,49,49,0,0,2.0,6.75,1.21,0.09,0.71,11.57,-0.71,0.0,0.073
키움,박준태,-0.33999999999999997,81,139,1307.2,340,329,6,5,2.981,6.82,-1.8900000000000001,-0.27,-1.64,-10.65,-1.81,-3.45,-0.16
키움,박찬혁,-0.395,27,22,167.0,71,64,4,3,0.958,3.67,-2.22,-0.43,-2.84,-20.34,-0.98,-3.81,-0.294
키움,변상권,0.391,65,56,526.2,143,141,2,0,2.0,4.93,5.739999999999999,0.25,5.51,17.68,-1.6300000000000001,3.89,0.557
키움,브리검,0.187,12,31,168.0,40,8,30,2,1.891,4.02,1.92,-0.08,1.94,26.630000000000003,0.0,1.94,0.187
키움,서건창,0.327,71,120,1013.4000000000001,601,262,329,10,1.968,10.54,1.2,0.52,1.7099999999999997,5.639999999999999,1.79,3.5200000000000005,0.154
키움,송성문,1.903,203,200,1755.2,636,209,405,22,1.9329999999999998,7.109999999999999,15.080000000000002,0.74,15.82,24.39,2.71,18.53,1.624
키움,송우현,-0.058,66,63,560.1,119,113,5,1,0.992,1.9,-0.29,0.17,2.33,4.97,-2.91,-0.58,0.23
키움,신준우,-0.025,124,32,376.2,212,70,135,7,1.9289999999999998,9.77,-2.0,0.010000000000000009,-1.99,-13.77,1.72,-0.2699999999999999,-0.201
키움,안우진,0.167,51,51,303.2,45,8,34,3,1.866,2.46,1.39,0.09,1.6300000000000001,11.41,0.0,1.6300000000000001,0.167
키움,애플러,-0.111,33,25,140.1,26,9,13,4,0.846,1.41,-0.69,-0.45,-1.07,-9.14,0.0,-1.07,-0.111
키움,양현,0.04,3,1,60.0,12,3,8,1,0.917,1.65,0.47,-0.08,0.43,8.56,0.0,0.43,0.04
키움,예진원,0.259,46,34,303.2,85,82,3,0,1.0,2.52,3.22,0.15,3.07,12.09,-0.52,2.55,0.312
키움,요키시,-0.087,63,88,525.4,153,43,98,12,2.7670000000000003,7.279999999999999,0.18999999999999995,-1.28,-0.8300000000000001,-4.960000000000001,0.0,-0.8300000000000001,-0.087
키움,이병규,-0.003,13,7,54.0,41,36,4,1,0.976,6.67,0.38,-0.12,0.35,7.69,-0.37,-0.03,0.036
키움,이승호,-0.133,56,23,168.3,29,8,20,1,1.958,2.63,-1.34,0.17,-1.45,-11.25,0.0,-1.45,-0.133
키움,이용규,-1.5,190,180,1468.3000000000002,323,311,7,5,1.967,3.86,-5.35,-0.14,-7.99,-12.31,-7.01,-14.98,-0.7979999999999999
키움,이정후,1.8210000000000002,251,372,3213.3999999999996,865,832,25,8,2.972,7.2,8.790000000000001,0.22999999999999998,18.8,20.1,-0.28,18.509999999999998,1.8259999999999998
키움,이주형,-0.049,12,11,76.0,67,65,2,0,1.0,7.93,0.0,0.14,0.15,2.34,-0.62,-0.47,0.016
키움,이지영,1.8159999999999998,233,202,1939.4,1700,1562,120,18,2.971,23.12,-0.18999999999999997,-0.77,1.5,2.55,16.490000000000002,17.990000000000002,0.153
