순위,이름,팀,WAR,출장,완투,완봉,선발,승,패,세이브,홀드,이닝,실점,자책,타자,안타,2타,3타,홈런,볼넷,고4,사구,삼진,보크,폭투,ERA,FIP,WHIP,ERA+,FIP+,WPA
295,김사윤,21S, -0.72 , 6 , 0 , 0 , 6 , 0 , 1 , 0 , 0 , 17.1 , 20 , 19 , 92 , 20 , 1 , 0 , 5 , 20 , 0 , 4 , 21 , 0 , 1 , 9.87 , 8.81 , 2.31 , 45.5 , 51.9 , -1.33 
296,김유신,21K, -0.76 , 15 , 0 , 0 , 11 , 2 , 6 , 0 , 0 , 54.1 , 47 , 46 , 249 , 63 , 12 , 1 , 11 , 35 , 0 , 2 , 29 , 0 , 0 , 7.62 , 6.94 , 1.80 , 58.4 , 63.7 , -1.61 
297,노경은,21롯, -0.80 , 14 , 0 , 0 , 11 , 3 , 5 , 0 , 0 , 56.1 , 50 , 46 , 269 , 79 , 16 , 1 , 11 , 24 , 0 , 4 , 35 , 0 , 3 , 7.35 , 6.12 , 1.83 , 61.8 , 73.1 , -1.90 
298,김현수,21K, -0.87 , 17 , 0 , 0 , 8 , 1 , 4 , 0 , 0 , 45.2 , 43 , 40 , 229 , 57 , 16 , 0 , 8 , 36 , 0 , 3 , 27 , 0 , 1 , 7.88 , 6.99 , 2.04 , 56.4 , 63.4 , -1.36 
299,이보근,21K, -0.88 , 15 , 0 , 0 , 0 , 0 , 1 , 0 , 1 , 10.0 , 18 , 17 , 61 , 25 , 4 , 0 , 3 , 6 , 0 , 0 , 7 , 0 , 2 , 15.30 , 7.63 , 3.10 , 29.4 , 57.9 , -0.84 
300,이승민,21삼, -0.88 , 11 , 0 , 0 , 11 , 1 , 4 , 0 , 0 , 35.2 , 34 , 34 , 173 , 50 , 6 , 1 , 6 , 18 , 0 , 3 , 22 , 0 , 0 , 8.58 , 6.05 , 1.91 , 52.6 , 75.1 , -1.17 
301,송재영,21롯, -0.93 , 19 , 0 , 0 , 0 , 0 , 2 , 0 , 1 , 14.2 , 23 , 22 , 79 , 24 , 6 , 0 , 3 , 12 , 0 , 1 , 13 , 0 , 1 , 13.50 , 6.88 , 2.46 , 33.7 , 65.0 , -0.48 
302,오원석,21S, -1.00 , 33 , 0 , 0 , 21 , 7 , 6 , 0 , 2 , 110.0 , 84 , 72 , 530 , 125 , 20 , 3 , 11 , 73 , 1 , 10 , 95 , 1 , 2 , 5.89 , 5.14 , 1.80 , 76.2 , 88.2 , -2.81 
303,이승관,21한, -1.04 , 8 , 0 , 0 , 2 , 0 , 2 , 0 , 0 , 5.2 , 20 , 17 , 44 , 11 , 3 , 1 , 1 , 16 , 0 , 0 , 5 , 0 , 1 , 27.00 , 12.33 , 4.77 , 16.2 , 36.3 , -0.57 
304,김진성,21N, -1.07 , 42 , 0 , 0 , 0 , 2 , 4 , 1 , 9 , 37.2 , 34 , 30 , 174 , 43 , 10 , 0 , 7 , 18 , 3 , 1 , 37 , 0 , 2 , 7.17 , 5.06 , 1.62 , 63.3 , 89.9 , -1.25 
305,신정락,21한, -1.08 , 20 , 0 , 0 , 0 , 0 , 2 , 0 , 2 , 20.0 , 24 , 19 , 102 , 25 , 6 , 1 , 3 , 15 , 2 , 3 , 14 , 0 , 0 , 8.55 , 6.28 , 2.00 , 51.2 , 71.0 , -0.78 
306,이민우,21K, -1.13 , 16 , 1 , 0 , 12 , 1 , 6 , 0 , 0 , 57.0 , 53 , 51 , 275 , 78 , 12 , 3 , 8 , 31 , 0 , 5 , 28 , 1 , 2 , 8.05 , 6.07 , 1.91 , 55.2 , 73.0 , -1.84 
307,장시환,21한, -1.38 , 19 , 1 , 0 , 16 , 0 , 11 , 0 , 1 , 69.0 , 62 , 54 , 342 , 87 , 12 , 1 , 4 , 48 , 2 , 6 , 47 , 0 , 7 , 7.04 , 4.99 , 1.96 , 62.2 , 89.5 , -2.32 
308,유희관,21두, -1.48 , 15 , 0 , 0 , 15 , 4 , 7 , 0 , 0 , 63.0 , 57 , 54 , 314 , 107 , 14 , 3 , 10 , 24 , 0 , 3 , 23 , 0 , 0 , 7.71 , 5.95 , 2.08 , 55.9 , 71.8 , -1.98 
