팀,이름,WAR,출장,완투,완봉,선발,승,패,세이브,홀드,이닝,실점,자책,타자,안타,2타,3타,홈런,볼넷,고4,사구,삼진,보크,폭투,WPA
두산,윤명준,-0.1499999999999999,107,0,0,0,2,1,2,8,107.30000000000001,76,67,497,135,18,3,15,40,4,6,61,1,4,-0.53
두산,이교훈,-0.33999999999999997,16,0,0,0,0,0,0,0,12.2,16,15,67,19,5,0,3,7,0,1,11,0,1,-0.11
두산,이동원,0.0,1,0,0,0,0,0,0,0,0.0,2,2,2,0,0,0,0,2,0,0,0,0,0,0.0
두산,이병헌,0.09,9,0,0,0,0,0,0,0,5.0,2,2,28,5,1,0,0,7,0,1,5,0,2,-0.06
두산,이승진,0.6799999999999999,115,0,0,5,6,9,2,20,130.3,82,76,578,131,17,2,11,65,3,5,111,3,2,-0.30000000000000004
두산,이영하,1.04,98,0,0,50,16,25,7,2,308.4,201,177,1431,338,58,2,23,180,4,12,221,1,19,-5.029999999999999
두산,이용찬,-0.54,5,0,0,5,1,3,0,0,26.2,25,25,125,41,8,0,7,6,0,0,15,0,1,-0.74
두산,이주엽,-0.01,4,0,0,0,0,0,0,0,3.1,3,3,19,3,1,0,0,7,0,0,2,0,1,-0.01
두산,이현승,1.17,123,0,0,0,8,2,2,18,73.4,39,36,328,77,12,4,5,31,1,3,71,1,3,-0.36
두산,이형범,-0.14999999999999997,62,0,0,0,1,3,1,1,58.4,41,37,280,66,13,0,6,32,2,7,32,0,3,-3.62
두산,임창민,0.19,32,0,0,0,0,0,2,6,27.1,15,12,124,26,1,0,3,10,0,3,21,0,1,-1.35
두산,장원준,-0.31,61,0,0,2,0,3,1,10,40.4,31,29,203,52,8,0,2,31,0,3,17,0,1,-1.18
두산,전창민,-0.74,9,0,0,0,0,0,0,0,9.1,20,20,52,17,4,1,2,8,0,0,3,0,0,-0.23
두산,정철원,2.51,58,0,0,0,4,3,3,23,72.2,26,25,294,60,12,2,4,26,2,2,47,0,7,1.1
두산,조제영,-0.59,10,0,0,2,0,2,0,0,16.2,20,20,91,24,4,0,2,17,1,2,11,0,2,-0.8300000000000001
두산,채지선,0.46,37,0,0,0,1,0,0,2,33.0,18,18,158,34,3,1,3,24,1,5,34,0,11,-0.09
두산,최세창,0.07,4,0,0,0,0,0,0,0,4.1,2,1,20,6,0,0,1,1,0,0,1,0,0,-0.01
두산,최승용,0.009999999999999995,63,0,0,17,3,7,0,7,111.19999999999999,69,63,506,124,18,5,11,53,0,3,80,1,1,-0.5700000000000001
두산,최원준,8.83,101,0,0,77,30,19,0,0,446.1,197,176,1918,477,85,9,51,109,1,24,320,2,4,1.44
두산,최지강,-0.16,2,0,0,0,0,0,0,0,1.2,4,4,11,6,1,0,0,2,0,0,2,0,1,-0.06
두산,플렉센,3.51,21,0,0,21,8,4,0,0,116.2,43,39,472,97,14,0,6,30,2,2,132,0,5,1.01
두산,함덕주,1.34,36,0,0,6,5,1,10,2,55.1,25,24,240,55,7,0,2,21,2,0,55,0,7,-0.39
두산,현도훈,-0.4,5,0,0,2,0,0,0,0,8.2,12,12,46,9,1,0,1,13,0,0,9,0,1,-0.29
두산,홍건희,4.87,173,0,0,0,11,19,22,34,192.3,84,77,819,186,32,1,13,68,3,7,193,1,14,0.17
롯데,강동호,-0.02,8,0,0,0,1,0,0,0,12.1,10,10,58,14,2,0,3,7,0,1,9,0,1,0.09
롯데,강윤구,-0.19,50,0,0,0,0,1,0,3,35.1,28,24,164,41,9,1,2,18,1,2,39,0,0,-0.62
롯데,강태율,0.01,1,0,0,0,0,0,0,0,0.1,0,0,3,2,1,0,0,0,0,0,0,0,0,0.0
롯데,고효준,0.15,24,0,0,0,1,0,0,0,15.2,10,10,77,14,3,0,3,11,0,3,11,0,1,-0.46
롯데,구승민,5.63,198,0,0,0,13,11,0,65,184.2,75,74,763,133,24,3,16,92,6,5,200,1,12,2.31
롯데,김건국,0.7,45,0,0,0,3,2,0,1,53.2,30,30,243,57,13,2,5,23,0,3,48,0,6,-0.13
롯데,김대우,1.39,95,0,0,1,2,3,0,10,94.2,49,42,419,86,20,1,5,58,1,6,82,1,14,-1.72
롯데,김도규,0.96,98,0,0,0,6,5,3,13,93.0,54,48,400,89,13,2,5,41,3,4,84,0,5,0.96
롯데,김동우,-0.15,5,0,0,0,0,0,0,0,5.0,7,6,30,10,0,0,1,5,0,0,3,0,2,-0.02
롯데,김민기,-0.17,1,0,0,0,0,0,0,0,0.2,5,5,8,6,2,0,1,1,0,0,0,0,0,0.0
롯데,김민수,0.03,1,0,0,0,0,0,0,0,1.0,0,0,4,0,0,0,0,1,0,0,1,0,0,0.0
롯데,김원중,4.66,162,0,0,0,11,11,76,2,164.3,76,70,704,142,32,2,18,67,12,3,181,0,12,1.8300000000000003
롯데,김유영,-0.009999999999999998,106,0,0,0,6,2,0,13,76.3,54,51,377,97,19,1,5,51,4,5,66,0,7,-1.21
롯데,김진욱,-0.31,53,0,0,17,6,11,0,8,91.4,68,66,454,85,17,1,6,84,4,11,97,0,19,-2.14
롯데,김창훈,-0.19,7,0,0,0,0,0,0,0,9.2,11,11,49,16,5,0,1,6,0,0,8,0,0,0.1
롯데,나균안,1.72,62,0,0,20,4,10,1,3,163.3,91,85,729,187,49,3,9,61,1,3,150,1,7,-1.46
롯데,나원탁,-0.19,9,0,0,0,0,0,0,0,8.0,10,9,44,10,1,1,1,8,0,2,11,0,1,-0.02
롯데,노경은,0.8999999999999999,39,1,0,35,8,15,0,0,189.1,126,118,843,218,47,2,30,64,2,7,112,0,6,-2.44
롯데,문경찬,0.09,38,0,0,0,1,2,0,1,40.1,27,26,184,51,11,0,7,13,1,1,31,1,2,-0.46
롯데,박명현,-0.08,2,0,0,0,0,0,0,0,0.2,2,2,6,3,1,0,0,1,0,0,0,0,1,-0.02
롯데,박선우,0.08,1,0,0,0,0,0,0,0,2.0,0,0,9,1,0,0,0,0,0,2,1,0,0,0.0
롯데,박세웅,7.8999999999999995,84,1,1,84,28,30,0,0,467.2,240,215,2022,498,83,6,48,132,1,26,379,0,37,-2.14
롯데,박시영,-0.34,36,0,0,0,1,1,0,1,30.1,27,27,145,32,7,0,5,23,0,1,21,0,1,-1.17
롯데,박재민,-0.17,5,0,0,0,0,0,0,0,2.2,5,5,13,3,1,0,1,2,0,0,2,0,0,-0.03
롯데,박진형,0.16,75,0,0,0,3,5,0,17,58.2,41,41,275,81,21,4,8,23,3,4,73,0,3,-1.6099999999999999
