순위,이름,팀,WAR,타격,도루,주루,수비,Rep.Wins,Pos.Wins,WAA_투수_선발,WAA_투수_구원,Rep.wins_선발,Rep.wins_구원,WAR_투수_선발,WAR_투수_구원
71,강민호,22삼C,2.32,0.16,-0.02,-0.26,0.21,1.85,0.37,0.00,0.00,0.00,0.00,0.00,0.00
,김재윤,22KP,2.32,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.44,0.00,0.88,0.00,2.32
73,박민우,22N2B,2.28,0.02,0.24,-0.14,0.15,1.88,0.13,0.00,0.00,0.00,0.00,0.00,0.00
74,노시환,22한3B,2.27,0.70,0.01,0.23,-0.38,2.04,-0.33,0.00,0.00,0.00,0.00,0.00,0.00
75,유강남,22LC,2.25,-0.32,-0.02,-0.17,-0.05,1.95,0.86,0.00,0.00,0.00,0.00,0.00,0.00
76,류지혁,22K3B,2.20,0.41,-0.03,-0.11,-0.06,1.99,-0.00,0.00,0.00,0.00,0.00,0.00,0.00
77,정우영,22LP,2.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.40,0.00,0.77,0.00,2.17
78,김윤식,22LP,2.13,0.00,0.00,0.00,0.00,0.00,0.00,0.61,0.00,1.52,0.00,2.13,0.00
79,하주석,22한SS,2.12,-0.95,0.14,-0.10,0.73,2.01,0.28,0.00,0.00,0.00,0.00,0.00,0.00
80,이창진,22KLF,2.06,0.80,-0.17,-0.09,0.23,1.68,-0.39,0.00,0.00,0.00,0.00,0.00,0.00
81,원종현,22NP,2.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.17,0.00,0.84,0.00,2.02
82,이태양,22SP,2.01,0.00,0.00,0.00,0.00,0.00,0.00,0.23,0.29,1.23,0.27,1.46,0.55
83,김민우,22한P,1.99,0.00,0.00,0.00,0.00,0.00,0.00,-0.18,0.00,2.17,0.00,1.99,0.00
84,나균안,22롯P,1.94,0.00,0.00,0.00,0.00,0.00,0.00,-0.04,0.41,0.95,0.62,0.91,1.03
85,렉스,22롯CF,1.91,1.65,0.05,-0.29,-0.39,1.05,-0.15,0.00,0.00,0.00,0.00,0.00,0.00
86,고승민,22롯RF,1.90,1.06,-0.16,0.24,-0.05,1.09,-0.27,0.00,0.00,0.00,0.00,0.00,0.00
,파노니,22KP,1.90,0.00,0.00,0.00,0.00,0.00,0.00,0.80,0.00,1.10,0.00,1.90,0.00
,심우준,22KSS,1.90,-1.56,0.37,0.33,0.35,1.87,0.54,0.00,0.00,0.00,0.00,0.00,0.00
